機構名稱,地址,核定床位數,經緯度
財團法人雲林縣私立同仁仁愛之家,雲林縣林內鄉林茂村復興路34號,200,"23.7502916,120.6076311"
財團法人天主教中華道明修女會附設私立福安老人療養所,雲林縣斗南鎮北銘里15鄰興北路99號,99,"23.679428,120.4816058"
雲林縣私立新樂園老人長期照顧中心(養護型),雲林縣虎尾鎮三合里10鄰吳厝59號,49,"23.697947,120.403071"
雲林縣私立歡禧老人長期照顧中心(養護型),雲林縣西螺鎮中興里19鄰福來路265巷15號,45,"23.7861855,120.4470594"
雲林縣私立長青老人長期照顧中心(養護型),雲林縣北港鎮新厝里9鄰新110-30號,40,"23.5853508,120.3161625"
雲林縣私立恩惠老人長期照顧中心(養護型),雲林縣斗南鎮東明里2鄰新庄20-36號,49,"23.68436,120.492612"
雲林縣私立安家園老人長期照顧中心(養護型),雲林縣北港鎮後溝里7鄰灣內77號,49,"23.5797825,120.3233704"
雲林縣私立大華老人長期照顧中心(養護型),雲林縣大埤鄉南和村20鄰民族路81號,49,"23.6429708,120.434099"
雲林縣私立源春老人長期照顧中心(養護型),雲林縣崙背鄉崙前村16鄰面前厝60號,49,"23.753186,120.354633"
雲林縣私立安親院老人長期照顧中心(養護型),雲林縣北港鎮後溝里灣仔內路76號,49,"23.5784019,120.3184801"
雲林縣私立石龜老人養護中心,雲林縣斗南鎮靖興里靖光路137號,36,"23.6443808,120.4768695"
私立朝陽老人養護中心,雲林縣斗六市鎮東里大學路1段201巷79號,30,"23.7118583,120.55707"
雲林縣私立慈愛老人養護所,雲林縣斗南鎮阿丹里興中1號,49,"23.6526063,120.5077582"
雲林縣私立僑真老人養護中心,雲林縣斗南鎮舊社里新生3路2840號,45,"23.6668616,120.4779887"
雲林縣私立華山老人養護中心,雲林縣古坑鄉華山村91號,38,"23.5898121,120.5998528"
雲林縣私立永光老人養護中心,雲林縣古坑鄉永光村光興路20號,41,"23.6195507,120.5580821"
私立博愛養護中心,雲林縣元長鄉長南村中山路1巷22號,49,"23.6451291,120.3107703"
雲林縣私立柏翔老人養護中心,雲林縣虎尾鎮下溪里大庄73之58號,46,"23.712611,120.459434"
雲林縣私立雙福寶佛門老人養護中心,雲林縣虎尾鎮平和里平和厝68之3號,48,"23.6869271,120.593608"
雲林縣私立祐康老人養護中心,雲林縣崙背鄉港尾村新鎮路45之3號,20,"23.7538462,120.374588"
雲林縣私立慈暉老人養護中心,雲林縣斗六市虎溪里興農路632號,46,"23.7295004,120.5165186"
雲林縣私立聖元老人養護中心(養護型),雲林縣斗南鎮小東里17鄰大業路125-1號,44,"23.692651,120.4741505"
雲林縣私立伊甸園老人長期照顧中心(養護型),雲林縣虎尾鎮下溪里大庄76-16號,49,"23.712611,120.459434"
雲林縣私立養生老人長期照顧中心(養護型),雲林縣土庫鎮忠正里中華路100號,49,"23.6685387,120.3868949"
雲林縣私立全佑老人長期照顧中心(養護型),雲林縣斗南鎮新光里18鄰文安30-22號,49,"23.693666,120.480594"
雲林縣私立永祥老人長期照顧中心(養護型),雲林縣林內鄉烏塗村5鄰忠庄58號,48,"23.76249,120.600353"
雲林縣私立孝親養源老人長期照顧中心(養護型),雲林縣虎尾鎮墾地里1鄰虎興西八路368號,49,"23.7336883,120.4072327"
雲林縣私立弘愛老人長期照顧中心(養護型),雲林縣斗六市十三里10鄰十三北路101號,45,"23.75162,120.5623857"
雲林縣私立聖誕老人長期照顧中心(養護型),雲林縣古坑鄉麻園村8鄰麻園60號,49,"23.6374009,120.5427363"
雲林縣私立金典老人長期照顧中心(養護型),雲林縣二崙鄉港後村15鄰港後路63-1號,49,"23.796123,120.3909596"
雲林縣私立健群老人長期照顧中心(養護型),雲林縣虎尾鎮平和里平和路35號,36,"23.7015753,120.4584267"
雲林縣私立幸福之家老人長期照顧中心(養護型),雲林縣二崙鄉崙東村6鄰裕民路22巷9號,49,"23.7782104,120.4142013"
雲林縣私立吉祥老人長期照顧中心(養護型),雲林縣元長鄉長南村8鄰中山路9-100號,49,"23.6465369,120.3129491"
雲林縣私立寬宏老人長期照顧中心(養護型),雲林縣斗南鎮田頭里15鄰後庄路85號,49,"23.6966454,120.4856168"
雲林縣私立天主教聖家老人長期照顧中心(養護型),雲林縣虎尾鎮下溪里8鄰大庄1-39號,44,"23.712611,120.459434"
雲林縣私立雙福佛門老人長期照顧中心(養護型),雲林縣斗南鎮小東里17鄰大業路152巷5弄28號,48,"23.6939126,120.4694338"
雲林縣私立家安老人長期照顧中心(養護型),雲林縣古坑鄉荷苞村荷包厝156-39號,49,"23.6486923,120.5998528"
雲林縣私立古坑老人長期照顧中心(長期照護型),雲林縣古坑鄉永光村光華路190號,49,"23.6152616,120.5631985"
雲林縣私立平安老人長期照顧中心(長期照護型),雲林縣古坑鄉荷苞村荷苞厝109-8號,28,"23.666961,120.580717"
雲林縣私立長榮老人長期照顧中心(長期照護型),雲林縣北港鎮劉厝里民樂路427-28號,41,"23.5833187,120.2879484"
雲林縣私立三和老人長期照顧中心(養護型),雲林縣褒忠鄉中民村大部路2-68號,49,"23.704372,120.318776"
私立安泰老人長期照護中心,雲林縣北港鎮劉厝里民樂路427-22號,48,"23.5833187,120.2879484"
雲林縣私立萊園長期照護中心,雲林縣元長鄉元南路6-20號,30,"23.6444735,120.3207425"
雲林縣私立大埔北極殿老人長期照顧中心(養護型),雲林縣古坑鄉朝陽村23鄰大埔15號,49,"23.640386,120.594661"
雲林縣私立義大之家老人長期照顧中心(養護型),雲林縣斗南鎮北銘里14鄰永安街19號,49,"23.6796757,120.4855724"
