變電所名稱,所在地,經緯度
虎菁D/S,雲林縣虎尾鎮新生路,"23.7083495,120.4384683"
虎科D/S,雲林縣虎尾鎮科虎三路,"23.7357657,120.3959605"
雲林P/S,雲林縣斗六鎮久安里永興路,"23.685149,120.5176682"
榴中D/S,雲林縣斗六市復興路,"23.7238701,120.5952299"
斗工D/S,雲林縣斗六市斗工八路,"23.7160227,120.5960961"
斗六D/S,雲林縣斗六市保長路,"23.7054706,120.5292257"
北港P/S,雲林縣水林鄉土厝村,"23.5706754,120.2656955"
台西D/S,雲林縣台西鄉中央路,"23.7172355,120.1990608"
北勢D/S,雲林縣斗六市科工七路,"23.717516,120.5045402"
四湖D/S,雲林縣四湖鄉三姓村中興路,"23.6259016,120.1761533"
斗南D/S,雲林縣斗南鎮延平路,"23.7127649,120.5388009"
口湖S/S,雲林縣口湖鄉湖東村文明路,"23.5899087,120.1874618"
土庫S/S,雲林縣土庫鎮西平里馬光路,"23.6980028,120.3684415"
大美S/S,雲林縣莿桐鄉大美村大美,"23.741211,120.514748"
元長S/S,雲林縣元長鄉頂寮村中坑路,"23.6375411,120.3291365"
水林S/S,雲林縣水林鄉順興村順興路,"23.5549367,120.2042066"
古坑S/S,雲林縣古坑鄉湳仔村湳仔,"23.65067,120.5453"
西螺S/S,雲林縣西螺鎮社口路,"23.7927358,120.4428025"
東北S/S,雲林縣東勢鄉東北村東勢東路,"23.6767167,120.26475"
崙背S/S,雲林縣崙背鄉東明村南昌路,"23.7676142,120.3597737"
雲港S/S,雲林縣北港鎮樹腳里大同路,"23.5787925,120.2793605"
橋村S/S,雲林縣麥寮鄉崙後村沙崙後,"23.772859,120.26697"
濁水S/S,雲林縣林內鄉烏塗村,"23.7717947,120.5998528"
豐田S/S,雲林縣大埤鄉嘉興村嘉興東路,"23.6436363,120.4658265"
