名稱,地址,總收容人數,經緯度
虎溪社區活動中心,雲林縣斗六市虎溪里斗六市虎溪路67-2號,40,"23.7200159,120.5225949"
重光社區活動中心,雲林縣斗六市重光里斗六市重光路41號,80,"23.6931359,120.5664591"
深圳社區活動中心,雲林縣斗六市久安里斗六市永興路44-1號,80,"23.6831029,120.5188913"
榴中社區活動中心,雲林縣斗六市榴中里斗六市中興路1號,100,"23.7229573,120.5826451"
崙峯社區活動中心,雲林縣斗六市崙峯里斗六市仁義路38號,50,"23.680997,120.538251"
榴北社區活動中心,雲林縣斗六市榴北里斗六市南環路86號,80,"23.7255533,120.5760459"
梅林社區活動中心,雲林縣斗六市梅林里斗六市內林路59號,40,"23.7018135,120.5978034"
長平社區活動中心,雲林縣斗六市長平里斗六市長平南路38號,80,"23.7008103,120.5077582"
嘉東社區活動中心,雲林縣斗六市嘉東里斗六市嘉東中路21號,40,"23.6859503,120.5474523"
湖山社區活動中心,雲林縣斗六市湖山里斗六市楓湖路92號,40,"23.7173627,120.6078503"
龍潭社區活動中心,雲林縣斗六市龍潭里斗六市龍潭南路21-3號,60,"23.6894697,120.5293624"
斗六市老人文康活動中心,雲林縣斗六市公正里斗六市莊敬路62號,200,"23.7041163,120.5497034"
崇修堂,雲林縣斗六市社口里斗六市中山路149巷20號,200,"23.7055229,120.5395877"
斗六公園,雲林縣斗六市公正里斗六市莊敬路62號前,500,"23.7041163,120.5497034"
正心中學,雲林縣斗六市正心里斗六市正心路1號,1200,"23.7149248,120.5275498"
斗六國中,雲林縣斗六市鎮東里斗六市育英北街69號,1000,"23.7132693,120.5505761"
雲林國中,雲林縣斗六市鎮西里斗六市明德路599號,1000,"23.7004437,120.5325871"
石榴國中,雲林縣斗六市榴中里斗六市光復路66號,600,"23.7220182,120.5872656"
鎮西國小,雲林縣斗六市鎮西里斗六市西平路3號,500,"23.7073542,120.5385238"
溪洲國小,雲林縣斗六市溪洲里斗六市萬年路809號,200,"23.740902,120.5550729"
梅林國小,雲林縣斗六市梅林里斗六市梅林路256號,200,"23.702701,120.601471"
明德里多功能活動中心,雲林縣斗六市明德里斗六市鎮北路712號,50,"23.7263919,120.5382814"
信義里集會所,雲林縣斗六市信義里斗六市文化路6號4樓,90,"23.7109164,120.5438082"
南聖宮,雲林縣斗六市重光里斗六市南聖路301號,200,"23.7010188,120.5582993"
溝壩國小,雲林縣斗六市溝埧里斗六市仁義路93號,800,"23.6738428,120.5376626"
公誠國小,雲林縣斗六市公誠里斗六市北平路95號,2400,"23.7154142,120.5376243"
鎮西里集會所,雲林縣斗六市鎮西里斗六市中堅西路701號,180,"23.7012064,120.531947"
久安社區活動中心,雲林縣斗六市久安里斗六市久安路299號,50,"23.6814909,120.5133132"
三光社區活動中心,雲林縣斗六市三光里斗六市板橋路40號地下一樓,40,"23.6548631,120.5251501"
順安宮明德大樓,雲林縣斗南鎮明昌里長安路126號,800,"23.6754125,120.4733595"
僑真國小日新樓,雲林縣斗南鎮明昌里延平路二段642號,195,"23.6680562,120.4750911"
東明國中中正堂,雲林縣斗南鎮大同里中興路111號,131,"23.6783754,120.4706858"
斗南國小活動中心,雲林縣斗南鎮西岐里文昌路150號,118,"23.6811931,120.4793249"
斗南高中中正堂,雲林縣斗南鎮西岐里中山路212號,253,"23.6818165,120.4764453"
石龜國小活動中心,雲林縣斗南鎮石龜里南生路1號,120,"23.6416518,120.4828901"
他里霧親水公園,雲林縣斗南鎮西岐里西岐段1454-4號,3079,"23.679436,120.4747975"
虎尾廳(僅供水災)停車場(僅供震災),雲林縣虎尾鎮新興里行政路6號,185,"23.7084801,120.4453047"
虎尾鎮多功能活動中心1樓(水震災)室外公園及籃球場(僅供震災),雲林縣虎尾鎮平和里大成街123號,1720,"23.7119492,120.4478465"
崇德國中桌球館(水震災)室外操場、籃球場(僅供震災),雲林縣虎尾鎮廉使里文科路1530號,1950,"23.7166931,120.4173979"
虎尾鎮立體育場(僅供震災),雲林縣虎尾鎮公安里5鄰水源路10-10號,300,"23.7121572,120.4336151"
虎尾高級農工職業學校活動中心 (水震災)室外籃球場(僅供震災),雲林縣虎尾鎮公安里博愛路65號,500,"23.7149608,120.4365126"
虎尾國小體育館(水震災)室外操場、籃球場(僅供震災),雲林縣虎尾鎮公安里明正路88號,950,"23.7137845,120.4316221"
頂溪多功能活動中心(水震災)室外公園(僅供震災),雲林縣虎尾鎮頂溪里頂竹圍5-6號,2700,"23.7260831,120.4684117"
大屯國小活動中心(水震災)室外操場、籃球場(僅供震災),雲林縣虎尾鎮東屯里147號,950,"23.7030636,120.3983097"
西螺鎮公所,雲林縣西螺鎮廣福里光復西路20號,400,"23.7978801,120.465601"
西螺鎮調解委員會,雲林縣西螺鎮廣福里民生路20號,200,"23.7981123,120.4653012"
福興里活動中心,雲林縣西螺鎮福興里中市路31號,100,"23.8032555,120.4596384"
振興里活動中心,雲林縣西螺鎮振興里127號,50,"23.7886536,120.4732056"
大園里活動中心,雲林縣西螺鎮大園里光復東路95號,50,"23.7982138,120.4724845"
西螺鎮立幼兒園,雲林縣西螺鎮正興里興農西路105巷21之1號,200,"23.7934173,120.4634738"
漢光里活動中心,雲林縣西螺鎮漢光里西興南路354號,50,"23.7935654,120.4568483"
新安里活動中心,雲林縣西螺鎮新安里新社100號,50,"23.7890335,120.4495805"
大新里活動中心,雲林縣西螺鎮大新里大新163之2號,50,"23.793111,120.488561"
東興里活動中心,雲林縣西螺鎮東興里東興34號,50,"23.770128,120.477269"
鹿場里活動中心,雲林縣西螺鎮鹿場里83之1號,50,"23.7511558,120.4732056"
廣興里活動中心,雲林縣西螺鎮廣興里84號,50,"23.7678743,120.4599384"
頂湳里活動中心,雲林縣西螺鎮頂湳里頂南24之3號,50,"23.7717004,120.4526738"
吳厝里活動中心,雲林縣西螺鎮吳厝里吳厝81之1號,50,"23.744041,120.4256805"
九隆里活動中心,雲林縣西螺鎮九隆里九隆45之1號,50,"23.753966,120.431354"
七座里活動中心,雲林縣西螺鎮七座里七座25號,50,"23.757017,120.443544"
公舘里活動中心,雲林縣西螺鎮公舘里公舘109號,50,"23.7475337,120.4527374"
詔安里活動中心,雲林縣西螺鎮詔安里詔安16之1號,50,"23.798098,120.4451247"
河南里活動中心,雲林縣西螺鎮河南里河南58之2號,50,"23.7945036,120.4400839"
福田里活動中心,雲林縣西螺鎮福田里社口87號,50,"23.790615,120.440556"
西螺農工,雲林縣西螺鎮大園里大同路4號,1800,"23.7944686,120.4683543"
中山國小,雲林縣西螺鎮廣福里新街路2號,1000,"23.7953174,120.465646"
文昌國小,雲林縣西螺鎮中興里延平路504號,1800,"23.8002337,120.4520222"
西螺國中,雲林縣西螺鎮正興里興農西路217號,1200,"23.7926004,120.460426"
東南國中(整修11507,)雲林縣西螺鎮中興里東南路326號,1200,"23.8043147,120.4519655"
廣興國小,雲林縣西螺鎮廣興里59號,1050,"23.7659478,120.4582659"
大新國小,雲林縣西螺鎮大新里215號,700,"23.7901124,120.4865238"
吳厝國小,雲林縣西螺鎮吳厝里44號,170,"23.744041,120.4256805"
文興國小,雲林縣西螺鎮新豐里新社257號,800,"23.7890335,120.4495805"
文賢國小,雲林縣西螺鎮公舘里文賢路1號,600,"23.7482137,120.464386"
安定國小,雲林縣西螺鎮河南里埔心路210號,650,"23.7981369,120.4395438"
西螺鎮福興宮,雲林縣西螺鎮福興里延平路180號,120,"23.8016312,120.4605865"
私立西光幼兒園,雲林縣西螺鎮中興里中山路308號,100,"23.799315,120.453527"
米都商務飯店,雲林縣西螺鎮永安里中山路8號,50,"23.8002639,120.4643192"
土庫鎮公所活動中心,雲林縣土庫鎮石廟里中興路175號,44,"23.6821016,120.3897128"
第一老人文康活動中心,雲林縣土庫鎮順天里新建路1-6號,96,"23.6764668,120.3884054"
土庫國中樂群堂及操場,雲林縣土庫鎮石廟里復興路318號,800,"23.6865812,120.3893049"
第二老人文康活動中心,雲林縣土庫鎮西平里民權路43-2號,111,"23.706561,120.3511057"
馬光國小學生活動中心及操場,雲林縣土庫鎮南平里馬光路174號,600,"23.7055386,120.3511174"
大荖社區活動中心,雲林縣土庫鎮大荖里大荖路47號,60,"23.686161,120.369548"
南平社區活動中心,雲林縣土庫鎮南平里仁愛街31號,74,"23.7044925,120.3532245"
扶朝社區活動中心,雲林縣土庫鎮埤腳里扶朝40-8號,96,"23.677769,120.361787"
埤腳社區活動中心,雲林縣土庫鎮埤腳里埤腳115-1號,67,"23.671526,120.347566"
下庄社區活動中心,雲林縣土庫鎮溪邊里下庄18-1號,46,"23.6573065,120.3867834"
溪埔寮農民休閒活動中心,雲林縣土庫鎮溪邊里溪埔27-2號,113,"23.6573065,120.3867834"
綺湖社區老人活動中心,雲林縣土庫鎮奮起里綺湖134號,35,"23.665418,120.357064"
綺湖社區活動中心,雲林縣土庫鎮奮起里綺湖96-1號,78,"23.665418,120.357064"
朝天宮（厚生大樓）,雲林縣北港鎮光民里厚生路15號,117,"23.5674534,120.3065218"
北辰國小,雲林縣北港鎮新街里成功路30號,452,"23.5779707,120.3021058"
好收國小,雲林縣北港鎮好收里好收20號,35,"23.602101,120.276828"
僑美國小,雲林縣北港鎮草湖里華勝路655號,30,"23.600974,120.306001"
育英國小,雲林縣北港鎮番溝里番溝84號,62,"23.62604,120.27506"
東榮國小,雲林縣北港鎮溝皂里溝皂174號,53,"23.614225,120.289971"
辰光國小-沒變,雲林縣北港鎮新厝里新厝49號,46,"23.5853508,120.3161625"
朝陽國小,雲林縣北港鎮扶朝里扶朝76號,40,"23.567279,120.282417"
雲林縣北港鎮公所,雲林縣北港鎮新街里北辰路1號,109,"23.5758988,120.3023889"
北港高中,雲林縣北港鎮新街里成功路26號,828,"23.5781778,120.3042684"
北港農工,雲林縣北港鎮新街里太平路80號,511,"23.5796755,120.3060882"
巨人中學,雲林縣北港鎮樹腳里大同路647號,146,"23.5743276,120.2885883"
北港國中,雲林縣北港鎮南安里民生路102號,276,"23.5665183,120.2992222"
建國國中,雲林縣北港鎮華勝里大同路468號,2199,"23.5740478,120.2961583"
南陽國小,雲林縣北港鎮南安里光明路59號,659,"23.5662095,120.300664"
樹腳社區活動中心,雲林縣北港鎮樹腳里大庄2-1號,109,"23.57748,120.275552"
過溝社區活動中心,雲林縣北港鎮樹腳里過溝42-2號,48,"23.5789381,120.2772325"
水碓國小,雲林縣古坑鄉水碓村水碓路97號,200,"23.664926,120.559998"
田心社區活動中心,雲林縣古坑鄉田心村田心59號之1,20,"23.670788,120.541988"
高林社區活動中心,雲林縣古坑鄉高林村高林61號,20,"23.674402,120.568946"
山峰華德福教育實驗國民小學,雲林縣古坑鄉荷苞村山峰路17號,200,"23.631186,120.613027"
東和國小,雲林縣古坑鄉東和村文化路120號,190,"23.6849837,120.569102"
新光國小,雲林縣古坑鄉新庄村1-1號,190,"23.6869437,120.5866363"
棋山國小,雲林縣古坑鄉棋盤村棋山49號,140,"23.6803538,120.6142365"
中華科技大學雲林校區,雲林縣古坑鄉崁腳村南昌6-26號,44,"23.618838,120.538612"
東和國民中學,雲林縣古坑鄉東和村文化路130號,190,"23.6863002,120.5676632"
華南實驗國民小學,雲林縣古坑鄉華南村華南28號,140,"23.6466411,120.5969758"
永光國小,雲林縣古坑鄉永光村文昌路84號,190,"23.6266131,120.5543534"
桂林國小,雲林縣古坑鄉桂林村95號,190,"23.6854291,120.5060164"
興昌國小,雲林縣古坑鄉崁腳村南昌6號,190,"23.618838,120.538612"
麻園社區活動中心,雲林縣古坑鄉麻園村中洲路41-1號,20,"23.6268379,120.5132692"
古坑國民中小學小學部體育館,雲林縣古坑鄉朝陽村朝陽路3號,200,"23.6455334,120.5658647"
古坑國民中小學國中部活動中心,雲林縣古坑鄉朝陽村朝陽路2號,200,"23.646766,120.5671237"
調解會暨古坑三村聯合辦公處,雲林縣古坑鄉古坑村中山路45號,20,"23.6427063,120.5615467"
湳仔社區活動中心,雲林縣古坑鄉湳仔村崙子路30號,20,"23.650477,120.5423015"
草嶺生態地質國民小學,雲林縣古坑鄉草嶺村草嶺56-8號,200,"23.584607,120.692878"
永光老人養護中心,雲林縣古坑鄉永光村光興路20號,2,"23.6195507,120.5580821"
劍湖山世界股份有限公司(渡假大飯店),雲林縣古坑鄉永光村大湖口67之8號,1000,"23.60822,120.570702"
私立福智國民中學活動中心,雲林縣古坑鄉麻園村平和23號,200,"23.6327985,120.525031"
樟湖生態國民中小學,雲林縣古坑鄉樟湖村石橋50-2號,190,"23.6111295,120.6372471"
舊庄國小（含操場）,雲林縣大埤鄉怡然村怡然路92號,462,"23.633687,120.4015513"
聯美國小（含操場）,雲林縣大埤鄉聯美村聯豐路99號,412,"23.6501294,120.4006508"
大埤國小（含操場）,雲林縣大埤鄉南和村中正路23號,612,"23.6439123,120.4318022"
大埤國中（含操場）,雲林縣大埤鄉南和村民權路80號,612,"23.641699,120.4296416"
嘉興國小（含操場）,雲林縣大埤鄉嘉興村嘉興路65號,437,"23.6493896,120.4538769"
仁和國小（含操場）,雲林縣大埤鄉豐岡村仁和路4號,412,"23.6620108,120.4224396"
豐田村里活動中心（含室外廣場）,雲林縣大埤鄉豐田村豐田12-1號,112,"23.658965,120.459733"
大埤鄉公所(四樓大禮堂),雲林縣大埤鄉北和村中山路8號,30,"23.6461093,120.4313745"
莿桐國中,雲林縣莿桐鄉莿桐村農校路1號,1895,"23.7508523,120.5081508"
莿桐鄉公所4樓禮堂,雲林縣莿桐鄉莿桐村和平路53號,75,"23.7610374,120.5024456"
饒平國小,雲林縣莿桐鄉饒平村饒平路1號,1202,"23.7776018,120.5225122"
莿桐國小,雲林縣莿桐鄉莿桐村中正路147號,1033,"23.756813,120.4980412"
榮村社區活動中心,雲林縣莿桐鄉埔子村榮村20之1號,42,"23.752736,120.512861"
育仁國小,雲林縣莿桐鄉甘厝村甘厝75號,1085,"23.759801,120.488975"
莿桐鄉立幼兒園,雲林縣莿桐鄉莿桐村中正路163號,533,"23.7574501,120.4971351"
淵明國中,雲林縣林內鄉林中村公園3號,375,"23.7654917,120.6063505"
林中國小,雲林縣林內鄉林中村公園4號,100,"23.7692838,120.6113599"
林內國小,雲林縣林內鄉林南村中正路111號,295,"23.7595593,120.6183715"
成功國小,雲林縣林內鄉坪頂村坪頂1號,70,"23.753956,120.638241"
林內國中,雲林縣林內鄉烏麻村長源路200號,205,"23.755755,120.595394"
九芎國小,雲林縣林內鄉九芎村文化路10號,250,"23.7442795,120.6025498"
重興國小,雲林縣林內鄉重興村重興15號,160,"23.76938,120.574817"
民生國小,雲林縣林內鄉烏塗村華興路1號,70,"23.7677141,120.5974343"
林中活動中心,雲林縣林內鄉林中村榮興路20號,30,"23.7692838,120.6113599"
湖本活動中心,雲林縣林內鄉湖本村三權路28號,30,"23.7266564,120.6228511"
九芎活動中心(一),雲林縣林內鄉九芎村中央路160號,50,"23.7470311,120.6011002"
九芎活動中心(二),雲林縣林內鄉九芎村中央路160-3號,80,"23.7470311,120.6011002"
二崙國民中學,雲林縣二崙鄉崙西村中正路88號,120,"23.7731376,120.4073139"
二崙國民小學,雲林縣二崙鄉崙東村中興路36號,86,"23.7722479,120.4145168"
來惠國民小學,雲林縣二崙鄉來惠村惠來路12號,63,"23.7678457,120.3984898"
三和國民小學,雲林縣二崙鄉三和村三和路17號,50,"23.7519295,120.4037408"
油車國民小學,雲林縣二崙鄉港後村60號,100,"23.8127559,120.3867834"
賜福宮,雲林縣二崙鄉田尾村12鄰92號,40,"23.7570339,120.4213592"
旭光國民小學,雲林縣二崙鄉大庄村酒姑路54號,41,"23.8048328,120.3653489"
永定國民小學,雲林縣二崙鄉永定村永定路238號,63,"23.7968948,120.4190184"
崙背鄉公所,雲林縣崙背鄉東明村行政街1號,75,"23.7620402,120.3591286"
崙背鄉立幼兒園,雲林縣崙背鄉南陽村大同路156號,300,"23.7578461,120.3456757"
崙背國中,雲林縣崙背鄉南陽村大成路91號,1000,"23.7576119,120.3489555"
崙背國小,雲林縣崙背鄉南陽村大同路154號,1000,"23.7580786,120.3467936"
東興國小,雲林縣崙背鄉羅厝村東興路1號,200,"23.7565248,120.3692395"
