名稱,地址,經緯度
國立臺灣大學醫學院附設醫院雲林分院（斗六院區）,斗六市雲林路2段579號,"23.6971135,120.5255707"
國立臺灣大學醫學院附設醫院雲林分院（虎尾院區）,虎尾鎮學府路95號,"23.7347642,120.4267609"
國立成功大學醫學院附設醫院斗六分院,斗六市莊敬路345號,"23.7023165,120.5455394"
中國醫藥大學北港附設醫院,北港鎮新德路123號,"23.5889916,120.3066664"
彰化基督教醫療財團法人雲林基督教醫院,西螺鎮新豐里市場南路375號,"23.7815906,120.441315"
天主教若瑟醫療財團法人若瑟醫院,虎尾鎮新生路74號,"23.7083636,120.4381036"
長庚醫療財團法人雲林長庚紀念醫院,麥寮鄉中興村工業路1500號,"23.7957868,120.2184553"
洪揚醫院,斗六市文化路138號,"23.7107126,120.5488672"
安生醫院,斗六市永樂街120號,"23.7083497,120.5468436"
佛教慈濟醫療財團法人斗六慈濟醫院,斗六市雲林路二段248號,"23.7024718,120.5298311"
信安醫療社團法人信安醫院,斗六市瓦厝路159號,"23.6692494,120.5123811"
天主教福安醫院,斗南鎮文昌路110號,"23.6788704,120.4819346"
蔡醫院,土庫鎮中山路64號,"23.6744357,120.3898902"
北港仁一醫院,北港鎮公園路155號,"23.5773771,120.3011596"
全生醫院,北港鎮中正路100號,"23.5699794,120.3015629"
諸元內科醫院,北港鎮中山路125號,"23.5670624,120.3043135"
